epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88595,1.61455,8.11137,3.48019,2.19184,0.00481,0.86765,0.17564,0.11162,0.00445,0.80243,0.13583,0.04291,1.19588,4.13715,2.93522,1.89067,0.0904826,4.78261e-05,4.78261e-05
2,2.9668,1.48181,4.69725,3.37597,2.09062,0.00476,0.86765,0.20843,0.13285,0.00445,0.80946,0.16584,0.06557,1.1658,2.87248,2.91814,1.87693,0.0805316,9.68576e-05,9.68576e-05
3,4.0169,1.47314,3.69171,3.32536,2.00581,0.00464,0.85294,0.20108,0.1294,0.00444,0.8165,0.15778,0.05595,1.19867,2.60097,2.90226,1.90111,0.0705797,0.000144899,0.000144899
4,5.04679,1.42701,3.37353,3.28835,1.98199,0.00471,0.86765,0.26652,0.16525,0.0045,0.82417,0.19047,0.07797,1.15437,2.31062,2.86428,1.85312,0.0606267,0.000191951,0.000191951
5,6.0857,1.41609,3.42936,3.23733,1.99429,0.00471,0.86765,0.30704,0.20217,0.0046,0.84591,0.2504,0.11555,1.14763,2.13219,2.81034,1.80932,0.0506728,0.000238012,0.000238012
6,7.08934,1.33246,3.06144,3.16608,1.90432,0.0047,0.86765,0.32702,0.25059,0.0047,0.86061,0.30679,0.15789,1.08623,2.08427,2.7583,1.74941,0.0407179,0.000283084,0.000283084
7,8.08159,1.31108,2.92018,3.13925,1.83211,0.17003,0.63299,0.37432,0.28804,0.16525,0.61125,0.35607,0.19463,1.0734,2.05343,2.69063,1.71545,0.0307619,0.000327165,0.000327165
8,9.09257,1.25524,2.82411,3.05698,1.84623,1,0.07075,0.43526,0.33076,1,0.07075,0.41174,0.22607,1.13604,1.97004,2.62236,1.72798,0.020805,0.000370257,0.000370257
9,10.086,1.18234,2.61063,3.02311,1.70612,1,0.17071,0.48688,0.35023,1,0.17071,0.47084,0.2406,1.14514,1.89564,2.54422,1.70259,0.0108471,0.000412358,0.000412358
10,11.0725,1.14924,2.70044,2.94881,1.69517,1,0.20545,0.50719,0.36474,1,0.20545,0.50189,0.25512,1.13043,1.85295,2.49427,1.67639,0.000888252,0.00045347,0.00045347
11,12.1493,1.14138,2.53468,2.94168,1.68302,0.79762,0.28486,0.53425,0.38732,0.7845,0.28621,0.53768,0.27503,1.11903,1.7781,2.40451,1.657,0.0004505,0.0004505,0.0004505
12,13.1436,1.09668,2.52818,2.83288,1.61024,0.74103,0.30914,0.55129,0.41207,0.74103,0.30914,0.55522,0.28765,1.08965,1.7462,2.35702,1.63239,0.00044555,0.00044555,0.00044555
13,14.1444,1.05296,2.50236,2.76616,1.55307,0.82618,0.40165,0.5725,0.43237,0.83012,0.40665,0.57521,0.31383,1.09318,1.70993,2.30803,1.6255,0.0004406,0.0004406,0.0004406
14,15.1411,1.09179,2.46842,2.77755,1.59726,0.82972,0.46863,0.60626,0.45571,0.80651,0.44689,0.57133,0.3356,1.03288,1.62054,2.1702,1.57197,0.00043565,0.00043565,0.00043565
15,16.1337,1.01944,2.36054,2.69334,1.55844,0.69686,0.48721,0.61731,0.46643,0.70045,0.50192,0.62761,0.3581,1.01762,1.58311,2.10573,1.55669,0.0004307,0.0004307,0.0004307
16,17.1309,1.02889,2.33894,2.62098,1.5602,0.76034,0.50002,0.66779,0.51345,0.76034,0.50002,0.66688,0.394,0.99651,1.54462,2.00718,1.52348,0.00042575,0.00042575,0.00042575
17,18.1229,1.01133,2.27124,2.55242,1.52155,0.78424,0.50734,0.67997,0.52409,0.75539,0.4879,0.6492,0.39866,0.99575,1.53627,1.96477,1.51678,0.0004208,0.0004208,0.0004208
18,19.122,0.97808,2.27838,2.53786,1.52082,0.81823,0.54646,0.70113,0.5471,0.81823,0.54646,0.69964,0.42636,0.96417,1.50147,1.84659,1.48924,0.00041585,0.00041585,0.00041585
19,20.1398,0.99956,2.257,2.45483,1.484,0.80987,0.5515,0.71658,0.55475,0.79377,0.52418,0.68658,0.43249,0.96433,1.46471,1.79959,1.48999,0.0004109,0.0004109,0.0004109
20,21.1589,1.01538,2.13511,2.44981,1.50015,0.78613,0.56777,0.72566,0.55398,0.7615,0.54604,0.69612,0.44519,0.96096,1.43854,1.7774,1.48154,0.00040595,0.00040595,0.00040595
21,22.1635,0.97932,2.11775,2.35637,1.48622,0.79046,0.57391,0.74904,0.55767,0.79046,0.57391,0.74729,0.44954,0.95846,1.39492,1.70398,1.47464,0.000401,0.000401,0.000401
22,23.2413,0.925,2.20566,2.28635,1.42956,0.78216,0.58417,0.75998,0.57092,0.75943,0.56394,0.72778,0.4669,0.9702,1.3731,1.6752,1.48083,0.00039605,0.00039605,0.00039605
23,24.2569,0.93351,2.03248,2.25696,1.42617,0.72384,0.64749,0.78325,0.58962,0.70375,0.62681,0.75248,0.49053,0.93384,1.33434,1.63494,1.4586,0.0003911,0.0003911,0.0003911
24,25.2451,0.96142,1.9867,2.24229,1.44177,0.71217,0.65435,0.78689,0.59881,0.71217,0.65435,0.78421,0.49923,0.91267,1.31285,1.59537,1.43488,0.00038615,0.00038615,0.00038615
25,26.2652,0.86063,2.06147,2.15626,1.35701,0.96224,0.59338,0.80173,0.60331,0.8302,0.62253,0.79137,0.51172,0.90514,1.2928,1.53984,1.42428,0.0003812,0.0003812,0.0003812
26,27.2574,0.88182,1.90175,2.10074,1.37965,0.79884,0.65601,0.8142,0.62121,0.79884,0.65601,0.80504,0.52192,0.89042,1.27217,1.51658,1.41288,0.00037625,0.00037625,0.00037625
27,28.2556,0.91785,1.94561,2.14305,1.41985,0.77573,0.68542,0.82036,0.62216,0.77573,0.68542,0.81233,0.53802,0.86992,1.24259,1.46246,1.39495,0.0003713,0.0003713,0.0003713
28,29.2578,0.87491,1.98269,2.00972,1.37303,0.79566,0.7159,0.82671,0.62979,0.79566,0.7159,0.82025,0.53854,0.88765,1.23035,1.44725,1.41048,0.00036635,0.00036635,0.00036635
29,30.2773,0.8766,2.03967,2.02495,1.3711,0.78275,0.74425,0.82865,0.62864,0.78275,0.74425,0.82514,0.53428,0.89516,1.22916,1.43434,1.41454,0.0003614,0.0003614,0.0003614
30,31.2968,0.85047,1.83347,1.98442,1.35611,0.76823,0.75895,0.8375,0.65399,0.76823,0.75895,0.83387,0.54675,0.86593,1.21192,1.39648,1.39065,0.00035645,0.00035645,0.00035645
31,32.2948,0.88409,1.90104,1.90982,1.36102,0.80852,0.7948,0.84218,0.65821,0.80852,0.7948,0.84218,0.55782,0.86214,1.20242,1.37848,1.38632,0.0003515,0.0003515,0.0003515
32,33.3077,0.84186,1.85074,1.89207,1.36269,0.80256,0.8098,0.85972,0.67456,0.80256,0.8098,0.85972,0.58432,0.86538,1.17006,1.32689,1.38423,0.00034655,0.00034655,0.00034655
33,34.3825,0.84771,1.85282,1.87284,1.32614,0.79103,0.82192,0.86312,0.68374,0.79103,0.82192,0.86312,0.5793,0.86507,1.1691,1.31586,1.38353,0.0003416,0.0003416,0.0003416
34,35.4122,0.82931,2.00294,1.80943,1.31031,0.80138,0.84745,0.88152,0.69382,0.80138,0.84745,0.88152,0.59385,0.8714,1.16285,1.27772,1.3784,0.00033665,0.00033665,0.00033665
35,36.4432,0.82758,1.83354,1.7768,1.31531,0.90833,0.76136,0.88976,0.70104,0.90833,0.76136,0.88976,0.60445,0.87701,1.15402,1.26645,1.37893,0.0003317,0.0003317,0.0003317
36,37.4292,0.82382,1.8964,1.77057,1.29452,0.92908,0.77733,0.8933,0.70603,0.92908,0.77733,0.8933,0.61077,0.88812,1.15286,1.25667,1.38199,0.00032675,0.00032675,0.00032675
37,38.4447,0.77595,1.8511,1.72205,1.27005,0.93757,0.77437,0.90932,0.72064,0.93757,0.77437,0.90932,0.61316,0.8882,1.14725,1.23918,1.3707,0.0003218,0.0003218,0.0003218
38,39.4384,0.80343,1.77785,1.70427,1.27052,0.86576,0.80091,0.91064,0.71769,0.86576,0.80091,0.91064,0.60357,0.88115,1.14141,1.23351,1.35764,0.00031685,0.00031685,0.00031685
39,40.4475,0.82088,1.80692,1.70197,1.30506,0.97467,0.77356,0.91795,0.73384,0.97467,0.77356,0.91795,0.61661,0.85537,1.12146,1.21432,1.33129,0.0003119,0.0003119,0.0003119
40,41.4462,0.77902,1.71311,1.62016,1.25538,0.92565,0.82672,0.92053,0.74014,0.92565,0.82672,0.92053,0.63358,0.82875,1.1123,1.1932,1.30813,0.00030695,0.00030695,0.00030695
41,42.4469,0.76398,1.76956,1.6378,1.25417,0.9274,0.83184,0.92289,0.75263,0.9274,0.83184,0.92289,0.64027,0.80031,1.09532,1.18339,1.28758,0.000302,0.000302,0.000302
42,43.4479,0.77739,1.83856,1.68515,1.28146,0.93414,0.83184,0.92407,0.75231,0.93414,0.83184,0.92407,0.64314,0.79218,1.09316,1.16276,1.28206,0.00029705,0.00029705,0.00029705
43,44.5208,0.73632,1.85086,1.57084,1.22071,0.87465,0.87185,0.92804,0.75584,0.88966,0.88647,0.94307,0.65687,0.80318,1.08766,1.1571,1.28771,0.0002921,0.0002921,0.0002921
44,45.6053,0.73209,1.79202,1.57433,1.22306,0.91062,0.89277,0.94386,0.75198,0.89582,0.87834,0.92927,0.65836,0.82359,1.08477,1.15327,1.30471,0.00028715,0.00028715,0.00028715
45,46.6477,0.76764,1.71076,1.58041,1.25063,0.92508,0.8996,0.94838,0.7591,0.92508,0.8996,0.94838,0.66252,0.83304,1.07229,1.14245,1.31329,0.0002822,0.0002822,0.0002822
46,47.7593,0.78152,1.69359,1.59634,1.26423,0.9213,0.90574,0.9497,0.75876,0.9213,0.90574,0.9497,0.66548,0.8426,1.06142,1.10802,1.31706,0.00027725,0.00027725,0.00027725
47,48.8185,0.75521,1.69527,1.51408,1.23386,0.9253,0.90365,0.95046,0.7586,0.9253,0.90365,0.95046,0.66614,0.84198,1.05164,1.10332,1.31667,0.0002723,0.0002723,0.0002723
48,49.942,0.77755,1.74139,1.60977,1.2381,0.93013,0.91765,0.95195,0.75982,0.93013,0.91765,0.95195,0.68019,0.83146,1.03354,1.07954,1.31179,0.00026735,0.00026735,0.00026735
49,51.1678,0.75711,1.73403,1.51773,1.224,0.93947,0.91818,0.95484,0.75971,0.92994,0.89997,0.94145,0.67881,0.83055,1.02463,1.07617,1.31273,0.0002624,0.0002624,0.0002624
50,52.4713,0.78322,1.63799,1.52864,1.25934,0.93516,0.92473,0.95615,0.7616,0.92425,0.90625,0.94227,0.67346,0.84289,1.00685,1.08887,1.32084,0.00025745,0.00025745,0.00025745
51,53.6649,0.74384,1.71634,1.46114,1.18144,0.92424,0.90916,0.94242,0.76434,0.92424,0.90916,0.94242,0.67528,0.84295,1.00052,1.09146,1.31812,0.0002525,0.0002525,0.0002525
52,54.7818,0.75974,1.76939,1.49621,1.21443,0.93196,0.91944,0.94259,0.76381,0.93196,0.91944,0.94259,0.68108,0.8247,0.99213,1.09151,1.30202,0.00024755,0.00024755,0.00024755
53,55.8339,0.70559,1.66893,1.44332,1.1666,0.93445,0.91944,0.94265,0.77002,0.93445,0.91944,0.94265,0.6817,0.81345,0.98258,1.08942,1.28927,0.0002426,0.0002426,0.0002426
54,57.1173,0.74626,1.7601,1.50589,1.2154,0.93016,0.91944,0.95745,0.76646,0.93289,0.91944,0.9445,0.6824,0.80981,0.98442,1.0899,1.28568,0.00023765,0.00023765,0.00023765
55,58.6137,0.70332,1.68161,1.43526,1.17395,0.95503,0.91944,0.95595,0.76702,0.95503,0.91944,0.95595,0.68448,0.79755,0.97605,1.08015,1.27162,0.0002327,0.0002327,0.0002327
56,59.8246,0.73333,1.56258,1.44647,1.19858,0.95218,0.91944,0.95873,0.77269,0.95218,0.91944,0.95873,0.69195,0.78962,0.9656,1.0808,1.26063,0.00022775,0.00022775,0.00022775
57,61.0049,0.72282,1.58011,1.45549,1.18398,0.98377,0.91554,0.9599,0.7915,0.98377,0.91554,0.9599,0.7035,0.77958,0.95382,1.06889,1.25476,0.0002228,0.0002228,0.0002228
58,62.1566,0.67476,1.63401,1.41632,1.16544,0.98168,0.91885,0.9606,0.79138,0.98168,0.91885,0.9606,0.70369,0.78288,0.95141,1.06678,1.25721,0.00021785,0.00021785,0.00021785
59,63.4013,0.69648,1.58457,1.36189,1.17923,0.98006,0.91944,0.95942,0.80143,0.98006,0.91944,0.95942,0.70714,0.74101,0.94757,1.05605,1.23059,0.0002129,0.0002129,0.0002129
60,64.5478,0.70197,1.57217,1.39685,1.17118,0.97921,0.91944,0.9599,0.80125,0.97921,0.91944,0.9599,0.71622,0.74289,0.94718,1.05508,1.23388,0.00020795,0.00020795,0.00020795
61,65.6933,0.68166,1.60913,1.41107,1.17171,0.97725,0.91944,0.96034,0.80108,0.97725,0.91944,0.96034,0.71235,0.74735,0.94165,1.05888,1.23867,0.000203,0.000203,0.000203
62,66.9737,0.66172,1.55259,1.41692,1.16266,0.975,0.91944,0.9595,0.79959,0.975,0.91944,0.9595,0.71736,0.74415,0.93179,1.04239,1.23597,0.00019805,0.00019805,0.00019805
63,68.1314,0.67073,1.61701,1.39652,1.14566,0.97566,0.91944,0.96102,0.79973,0.97566,0.91944,0.96102,0.70874,0.74685,0.93043,1.03246,1.23791,0.0001931,0.0001931,0.0001931
64,69.2166,0.69083,1.53142,1.37779,1.16489,0.97896,0.91944,0.95864,0.79874,0.97896,0.91944,0.95864,0.7068,0.74196,0.92547,1.0149,1.23662,0.00018815,0.00018815,0.00018815
65,70.3436,0.67799,1.61773,1.36803,1.15661,0.97284,0.91944,0.95926,0.79623,0.97284,0.91944,0.95926,0.70848,0.74488,0.92303,1.02111,1.24205,0.0001832,0.0001832,0.0001832
66,71.4666,0.67819,1.61094,1.37213,1.1617,0.98237,0.91402,0.95998,0.80022,0.98237,0.91402,0.96453,0.70863,0.71394,0.92234,0.98828,1.21846,0.00017825,0.00017825,0.00017825
67,72.753,0.68181,1.54674,1.35663,1.15777,0.98073,0.91304,0.94816,0.79729,0.98073,0.91304,0.95232,0.70672,0.71747,0.9202,0.99218,1.22384,0.0001733,0.0001733,0.0001733
68,74.0196,0.68736,1.56295,1.3544,1.1693,0.98149,0.91944,0.94893,0.80862,0.98149,0.91944,0.95269,0.71766,0.68947,0.92059,0.98021,1.20471,0.00016835,0.00016835,0.00016835
69,75.3169,0.66129,1.58266,1.31287,1.15429,0.98019,0.92338,0.96106,0.80482,0.98169,0.91944,0.95327,0.71801,0.69654,0.92753,0.97914,1.20685,0.0001634,0.0001634,0.0001634
