epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,257.468,0.97088,0.79537,1.12662,0.88427,0.82407,0.85919,0.602,1.13627,0.99163,1.2963,0.000462281,0.000462281,0.000462281
43,262.153,0.87671,0.73376,1.0742,0.8302,0.86111,0.86286,0.62279,1.05044,0.91194,1.2392,0.000438703,0.000438703,0.000438703
44,267.823,0.99444,0.96723,1.16577,0.84451,0.87963,0.87151,0.64268,1.00568,0.86622,1.225,0.000415124,0.000415124,0.000415124
45,274.573,0.97141,0.93464,1.14833,0.8414,0.87963,0.85554,0.6374,1.01999,0.86525,1.23234,0.000391546,0.000391546,0.000391546
46,284.314,0.89832,0.75832,1.10687,0.87615,0.86111,0.84056,0.62331,1.03255,0.84612,1.23296,0.000367967,0.000367967,0.000367967
47,293.27,0.94893,0.79785,1.13883,0.87275,0.84904,0.84479,0.63157,1.01947,0.82426,1.22243,0.000344389,0.000344389,0.000344389
48,299.341,0.94461,0.96484,1.14131,0.81837,0.91367,0.85377,0.63699,0.91048,0.82685,1.1606,0.00032081,0.00032081,0.00032081
49,310.448,0.79897,0.64278,1.04681,0.80381,0.89217,0.85452,0.63948,0.93969,0.80149,1.16862,0.000297232,0.000297232,0.000297232
50,316.949,0.85643,0.80446,1.09969,0.7904,0.88016,0.83863,0.63586,0.98919,0.79761,1.19236,0.000273654,0.000273654,0.000273654
51,362.613,0.84614,0.78664,1.07109,0.80502,0.91667,0.86167,0.62344,0.99934,0.76441,1.19614,0.000250075,0.000250075,0.000250075
52,371.904,0.90699,0.77507,1.12844,0.841,0.89815,0.87262,0.61035,1.02985,0.74772,1.20918,0.000226497,0.000226497,0.000226497
53,378.785,0.78274,0.73546,1.10477,0.84589,0.89815,0.87765,0.61302,1.01628,0.7451,1.20428,0.000202918,0.000202918,0.000202918
54,386.743,0.80121,0.70413,1.06451,0.85702,0.89815,0.88018,0.61465,1.0025,0.7531,1.19931,0.00017934,0.00017934,0.00017934
55,395.955,0.74564,0.66077,1.03099,0.86669,0.89003,0.87641,0.62302,0.97579,0.75447,1.1909,0.000155761,0.000155761,0.000155761
56,403.98,0.77902,0.73305,1.06873,0.89848,0.85256,0.87451,0.63883,0.96841,0.7531,1.18915,0.000132183,0.000132183,0.000132183
57,411.814,0.72517,0.69366,1.04569,0.80006,0.89815,0.83483,0.63489,0.9611,0.75758,1.18603,0.000108604,0.000108604,0.000108604
58,422.296,0.73356,0.65014,1.03718,0.8012,0.89815,0.83425,0.63464,0.95706,0.73984,1.18129,8.50255e-05,8.50255e-05,8.50255e-05
59,431.239,0.7679,0.74698,1.07827,0.81823,0.91667,0.87177,0.64098,0.95846,0.73754,1.17999,6.1447e-05,6.1447e-05,6.1447e-05
60,439.493,0.81273,0.69356,1.08242,0.81776,0.90639,0.87821,0.64827,0.96499,0.7217,1.18179,3.78685e-05,3.78685e-05,3.78685e-05
