epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.27899,1.52506,5.71133,3.01245,2.07273,0.00484,0.50926,0.00478,0.00117,0,0,0,0,2.98292,154.712,3.6733,4.03607,0.090448,4.8e-05,4.8e-05
2,3.62239,1.38706,2.86061,2.28941,1.89168,0.00525,0.65741,0.18331,0.05286,0.00358,0.44444,0.05374,0.01089,2.77836,43.3452,3.39612,3.66306,0.080497,9.70298e-05,9.70298e-05
3,5.01755,1.18857,2.81647,1.93539,1.64504,0.01406,0.80556,0.42065,0.23532,0.0116,0.66667,0.28994,0.09906,1.53957,19.8942,2.82668,2.1732,0.0705451,0.00014507,0.00014507
4,6.40751,1.18642,2.66024,1.74686,1.63672,0.67038,0.47822,0.54889,0.36884,0.38401,0.36815,0.41096,0.18955,1.5438,10.5734,2.11821,2.13351,0.0605921,0.000192119,0.000192119
5,7.72154,1.1102,2.50328,1.56624,1.55075,0.58443,0.65741,0.58937,0.4042,0.50872,0.56481,0.50145,0.22955,1.40017,4.19693,1.86188,1.94791,0.0506382,0.000238179,0.000238179
6,9.0098,1.05699,2.3257,1.49584,1.53762,0.54641,0.53704,0.55983,0.38525,0.56328,0.56794,0.53828,0.23196,1.48501,3.24785,1.85914,1.97904,0.0406832,0.000283249,0.000283249
7,10.2542,1.02725,2.05571,1.37295,1.49308,0.51328,0.65902,0.58946,0.38356,0.4944,0.60185,0.55188,0.20506,1.38489,2.66045,1.78033,1.93223,0.0307273,0.000327329,0.000327329
8,11.5566,1.01425,2.02501,1.28454,1.46653,0.63067,0.66589,0.67329,0.43917,0.5074,0.50102,0.45781,0.2166,1.2329,2.39973,1.54964,1.72886,0.0207704,0.000370419,0.000370419
9,12.8109,1.04688,2.06486,1.24208,1.50365,0.76218,0.72222,0.72425,0.48447,0.67348,0.64931,0.62017,0.27684,1.32212,2.2601,1.61219,1.8319,0.0108125,0.000412518,0.000412518
10,14.0508,1.00713,1.94092,1.19291,1.45029,0.84982,0.701,0.7262,0.46769,0.85206,0.69142,0.71218,0.37284,1.40125,1.81143,1.5178,1.88247,0.000853628,0.000453628,0.000453628
11,15.2994,0.93976,1.85458,1.0857,1.40129,0.84956,0.69396,0.72544,0.47201,0.80362,0.67593,0.68791,0.35457,1.38904,1.73233,1.39404,1.81737,0.0004505,0.0004505,0.0004505
12,16.543,0.93092,1.91938,1.1093,1.36426,0.73665,0.71296,0.7491,0.48136,0.68638,0.66667,0.70883,0.37885,1.28671,1.72016,1.30779,1.75302,0.00044555,0.00044555,0.00044555
13,17.7784,0.92653,1.77659,1.05954,1.36518,0.7498,0.64815,0.73071,0.50867,0.7498,0.64815,0.70917,0.40011,1.26556,1.9203,1.24293,1.72842,0.0004406,0.0004406,0.0004406
14,19.0404,0.88847,1.7075,1.04178,1.2992,0.80485,0.6272,0.72626,0.50283,0.80485,0.6272,0.7147,0.3884,1.31182,1.83798,1.25891,1.7789,0.00043565,0.00043565,0.00043565
15,20.2802,0.89921,1.75455,0.99515,1.33043,0.71125,0.68979,0.70856,0.49855,0.68168,0.64815,0.64921,0.32416,1.31622,2.14978,1.2381,1.74409,0.0004307,0.0004307,0.0004307
16,21.5159,0.89102,1.65975,0.96074,1.30868,0.73682,0.74074,0.80251,0.51912,0.7106,0.71296,0.73547,0.35937,1.24542,1.89898,1.16895,1.69031,0.00042575,0.00042575,0.00042575
17,22.8316,0.86675,1.71574,0.9668,1.30924,0.77357,0.69341,0.73094,0.51726,0.72956,0.66607,0.6836,0.36387,1.17725,1.79004,1.23259,1.6237,0.0004208,0.0004208,0.0004208
18,24.0693,0.80602,1.58615,0.88907,1.23158,0.75148,0.7037,0.74835,0.55115,0.63622,0.59259,0.5998,0.30842,1.19011,2.26542,1.22258,1.67915,0.00041585,0.00041585,0.00041585
19,25.3072,0.80494,1.64036,0.89446,1.26084,0.73002,0.71296,0.74094,0.52916,0.60388,0.59259,0.60493,0.31058,1.2449,2.26725,1.15333,1.73505,0.0004109,0.0004109,0.0004109
20,26.5537,0.80889,1.6136,0.89818,1.24367,0.73793,0.79226,0.77917,0.54428,0.71736,0.76852,0.76381,0.40607,1.19564,1.65573,1.12813,1.67614,0.00040595,0.00040595,0.00040595
21,27.7997,0.81027,1.58941,0.87874,1.23763,0.69069,0.73148,0.76148,0.5458,0.69069,0.73148,0.74125,0.4337,1.17975,1.49399,1.17998,1.61954,0.000401,0.000401,0.000401
22,29.0364,0.78972,1.57894,0.89265,1.25655,0.68533,0.82917,0.78366,0.54364,0.78952,0.73708,0.76935,0.44441,1.16566,1.45113,1.21864,1.64182,0.00039605,0.00039605,0.00039605
