epoch,train_box_loss,train_seg_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_seg_loss,val_cls_loss,val_dfl_loss,precision,recall,mAP50,mAP50-95,mask_mAP50,mask_mAP50-95,learning_rate,timestamp
1,0,0,0,0,1.26971,7.87424,2.93443,1.94747,0.00419,0.84375,0.27246,0.18907,0.16675,0.06327,0.09076071428571429,2025-11-15 21:45:13
2,0,0,0,0,1.24044,4.42422,2.93183,1.91784,0.00417,0.84375,0.23893,0.15592,0.19654,0.05303,0.08080975964285714,2025-11-15 21:45:15
3,0,0,0,0,1.21904,3.23901,2.91286,1.95453,0.00435,0.875,0.2051,0.13492,0.18095,0.06664,0.070857815,2025-11-15 21:45:16
4,0,0,0,0,1.18069,2.64319,2.90141,1.93217,0.00416,0.84375,0.17573,0.11948,0.1369,0.04977,0.06090488035714286,2025-11-15 21:45:17
5,0,0,0,0,1.17971,2.47804,2.90299,1.91496,0.00435,0.875,0.20187,0.13225,0.16729,0.04458,0.05095095571428572,2025-11-15 21:45:18
6,0,0,0,0,1.16426,2.32347,2.87497,1.90053,0.00435,0.875,0.23686,0.14312,0.12217,0.04708,0.040996041071428575,2025-11-15 21:45:19
7,0,0,0,0,1.15293,2.24945,2.8574,1.87925,0.00416,0.84375,0.28064,0.17607,0.15765,0.06873,0.031040136428571438,2025-11-15 21:45:19
8,0,0,0,0,1.1669,2.13783,2.82192,1.85732,0.00436,0.875,0.31881,0.22907,0.30892,0.12392,0.021083241785714288,2025-11-15 21:45:21
9,0,0,0,0,1.1709,2.04544,2.78941,1.83278,0.00436,0.875,0.37794,0.27475,0.36903,0.18808,0.011125357142857145,2025-11-15 21:45:22
10,0,0,0,0,1.16593,1.95496,2.74093,1.80717,0.00437,0.875,0.36547,0.2652,0.3096,0.17928,0.0011664824999999962,2025-11-15 21:45:23
11,0,0,0,0,1.16098,1.92568,2.70648,1.77388,0.00436,0.875,0.39571,0.2896,0.30939,0.19865,0.0004505,2025-11-15 21:45:24
12,0,0,0,0,1.13292,1.88219,2.66331,1.72329,1.0,0.1007,0.49186,0.34521,0.342,0.2161,0.00044555,2025-11-15 21:45:25
13,0,0,0,0,1.13219,1.85682,2.62972,1.69029,1.0,0.10584,0.55281,0.40389,0.40902,0.24021,0.0004406,2025-11-15 21:45:26
14,0,0,0,0,1.14852,1.83481,2.58426,1.68809,1.0,0.11729,0.60981,0.45842,0.47608,0.28562,0.00043565,2025-11-15 21:45:27
15,0,0,0,0,1.14852,1.83481,2.58426,1.68809,1.0,0.11729,0.60981,0.45842,0.47608,0.28562,0.0004307,2025-11-15 21:45:29
16,0,0,0,0,1.1455,1.813,2.54271,1.68096,1.0,0.14206,0.62212,0.46008,0.52336,0.28705,0.00042575,2025-11-15 21:45:30
17,0,0,0,0,1.12659,1.79751,2.5019,1.6672,1.0,0.15425,0.61566,0.45489,0.53757,0.29978,0.00042080000000000004,2025-11-15 21:45:31
18,0,0,0,0,1.1161,1.78033,2.46394,1.65796,0.95095,0.1977,0.63032,0.46109,0.62454,0.33642,0.00041585,2025-11-15 21:45:32
19,0,0,0,0,1.11904,1.7444,2.42369,1.65464,0.93182,0.37477,0.66604,0.45978,0.61978,0.34043,0.00041090000000000007,2025-11-15 21:45:33
20,0,0,0,0,1.09351,1.73314,2.40437,1.64428,1.0,0.39411,0.68155,0.47163,0.6507,0.3496,0.00040595000000000003,2025-11-15 21:45:35
21,0,0,0,0,1.11559,1.71234,2.34299,1.6454,1.0,0.41802,0.70635,0.50174,0.711,0.37896,0.00040100000000000004,2025-11-15 21:45:36
22,0,0,0,0,1.10234,1.68987,2.27751,1.63347,0.94961,0.41532,0.7145,0.52323,0.72098,0.39193,0.00039605,2025-11-15 21:45:37
23,0,0,0,0,1.10234,1.68987,2.27751,1.63347,0.94961,0.41532,0.7145,0.52323,0.72098,0.39193,0.0003911,2025-11-15 21:45:38
24,0,0,0,0,1.0771,1.65704,2.19924,1.60689,0.94187,0.49497,0.7279,0.53698,0.7326,0.40224,0.00038615,2025-11-15 21:45:40
25,0,0,0,0,1.05301,1.60441,2.13309,1.59215,0.93362,0.50391,0.74607,0.53976,0.74607,0.41419,0.0003812,2025-11-15 21:45:41
26,0,0,0,0,1.02563,1.56546,2.08133,1.5617,0.93251,0.50046,0.75129,0.55087,0.75129,0.43456,0.00037624999999999996,2025-11-15 21:45:41
27,0,0,0,0,1.01237,1.5361,2.01981,1.54341,0.93891,0.49221,0.78435,0.57708,0.78435,0.45501,0.0003713,2025-11-15 21:45:42
28,0,0,0,0,0.9844,1.50288,1.97669,1.52104,0.93568,0.48656,0.80078,0.5876,0.80121,0.47093,0.00036635000000000004,2025-11-15 21:45:43
29,0,0,0,0,0.96824,1.4674,1.91382,1.5038,0.93447,0.49626,0.8187,0.60648,0.8187,0.49383,0.0003614,2025-11-15 21:45:44
30,0,0,0,0,0.96277,1.46587,1.84399,1.48706,0.93373,0.5532,0.84796,0.62754,0.84796,0.52507,0.00035645,2025-11-15 21:45:45
31,0,0,0,0,0.96277,1.46587,1.84399,1.48706,0.93373,0.5532,0.84796,0.62754,0.84796,0.52507,0.0003515,2025-11-15 21:45:46
32,0,0,0,0,0.95032,1.47555,1.81368,1.47551,1.0,0.64205,0.86393,0.65572,0.86393,0.54489,0.00034655,2025-11-15 21:45:49
33,0,0,0,0,0.9483,1.47813,1.75158,1.46962,1.0,0.66211,0.87075,0.67051,0.87075,0.55492,0.00034159999999999995,2025-11-15 21:45:50
34,0,0,0,0,0.94632,1.4673,1.70055,1.46298,0.92719,0.6686,0.86347,0.66579,0.86347,0.56261,0.00033664999999999997,2025-11-15 21:45:51
35,0,0,0,0,0.94974,1.44014,1.65371,1.46037,0.90561,0.68261,0.88404,0.68114,0.88404,0.57068,0.00033169999999999993,2025-11-15 21:45:52
36,0,0,0,0,0.95651,1.43148,1.62676,1.46103,0.90165,0.68657,0.88244,0.6762,0.88244,0.58034,0.00032675,2025-11-15 21:45:52
37,0,0,0,0,0.95874,1.42792,1.60253,1.46003,0.90064,0.7141,0.88865,0.67874,0.88865,0.58533,0.0003218,2025-11-15 21:45:54
38,0,0,0,0,0.9504,1.3926,1.56291,1.44635,0.9023,0.72425,0.89042,0.684,0.89187,0.58013,0.00031685000000000003,2025-11-15 21:45:55
39,0,0,0,0,0.9504,1.3926,1.56291,1.44635,0.9023,0.72425,0.89042,0.684,0.89187,0.58013,0.0003119,2025-11-15 21:45:56
40,0,0,0,0,0.96134,1.37463,1.53848,1.45479,0.90451,0.72461,0.90169,0.68777,0.89482,0.59005,0.00030695,2025-11-15 21:45:57
41,0,0,0,0,0.96921,1.36312,1.50857,1.45759,0.94339,0.75611,0.90732,0.68108,0.90732,0.58518,0.000302,2025-11-15 21:45:58
42,0,0,0,0,0.98695,1.35083,1.49636,1.45287,0.93065,0.78256,0.90381,0.67688,0.90381,0.58312,0.00029705000000000004,2025-11-15 21:46:00
43,0,0,0,0,0.99524,1.33759,1.48864,1.45795,0.96238,0.82575,0.91711,0.6729,0.91711,0.58167,0.00029210000000000005,2025-11-15 21:46:00
44,0,0,0,0,0.9888,1.31432,1.45175,1.44667,0.95951,0.79841,0.91522,0.67548,0.91522,0.59452,0.00028715,2025-11-15 21:46:02
45,0,0,0,0,0.96584,1.30138,1.43004,1.43587,0.94441,0.78752,0.91015,0.6638,0.91015,0.59243,0.00028220000000000003,2025-11-15 21:46:03
46,0,0,0,0,0.94295,1.29768,1.41315,1.42102,0.91061,0.80524,0.90794,0.66286,0.90794,0.58669,0.00027725,2025-11-15 21:46:05
47,0,0,0,0,0.94295,1.29768,1.41315,1.42102,0.91061,0.80524,0.90794,0.66286,0.90794,0.58669,0.00027230000000000006,2025-11-15 21:46:06
48,0,0,0,0,0.94193,1.28368,1.39147,1.42675,0.90708,0.84702,0.90574,0.67814,0.90574,0.6018,0.00026735,2025-11-15 21:46:07
49,0,0,0,0,0.94715,1.27097,1.35283,1.43299,0.96112,0.85069,0.93052,0.70586,0.92906,0.61473,0.00026240000000000004,2025-11-15 21:46:08
50,0,0,0,0,0.96145,1.26347,1.33078,1.45455,0.92009,0.85069,0.92434,0.68554,0.92434,0.60436,0.00025745,2025-11-15 21:46:10
51,0,0,0,0,0.94871,1.26281,1.2968,1.4467,0.95028,0.85069,0.93471,0.70298,0.93471,0.6169,0.0002525,2025-11-15 21:46:11
