epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,32.8535,0.90195,2.2924,2.51845,1.33644,0.93373,0.5532,0.84796,0.62754,0.93373,0.5532,0.84796,0.52507,0.96277,1.46587,1.84399,1.48706,0.00035645,0.00035645,0.00035645
31,34.1078,0.91334,2.24276,2.50489,1.36582,0.93373,0.5532,0.84796,0.62754,0.93373,0.5532,0.84796,0.52507,0.96277,1.46587,1.84399,1.48706,0.0003515,0.0003515,0.0003515
32,36.8677,0.88558,2.08494,2.44334,1.29688,1,0.64205,0.86393,0.65572,1,0.64205,0.86393,0.54489,0.95032,1.47555,1.81368,1.47551,0.00034655,0.00034655,0.00034655
33,38.0774,0.89574,2.15197,2.41643,1.32812,1,0.66211,0.87075,0.67051,1,0.66211,0.87075,0.55492,0.9483,1.47813,1.75158,1.46962,0.0003416,0.0003416,0.0003416
34,38.9239,0.86382,2.17593,2.38661,1.29225,0.92719,0.6686,0.86347,0.66579,0.92719,0.6686,0.86347,0.56261,0.94632,1.4673,1.70055,1.46298,0.00033665,0.00033665,0.00033665
35,39.7601,0.86456,2.14847,2.38908,1.32681,0.90561,0.68261,0.88404,0.68114,0.90561,0.68261,0.88404,0.57068,0.94974,1.44014,1.65371,1.46037,0.0003317,0.0003317,0.0003317
36,40.6382,0.85209,2.0447,2.31613,1.34222,0.90165,0.68657,0.88244,0.6762,0.90165,0.68657,0.88244,0.58034,0.95651,1.43148,1.62676,1.46103,0.00032675,0.00032675,0.00032675
37,41.8665,0.8804,1.99615,2.29749,1.34014,0.90064,0.7141,0.88865,0.67874,0.90064,0.7141,0.88865,0.58533,0.95874,1.42792,1.60253,1.46003,0.0003218,0.0003218,0.0003218
38,42.6967,0.83451,1.95051,2.22392,1.27763,0.9023,0.72425,0.89042,0.684,0.9023,0.72425,0.89187,0.58013,0.9504,1.3926,1.56291,1.44635,0.00031685,0.00031685,0.00031685
39,44.0008,0.83802,2.1007,2.24336,1.29925,0.9023,0.72425,0.89042,0.684,0.9023,0.72425,0.89187,0.58013,0.9504,1.3926,1.56291,1.44635,0.0003119,0.0003119,0.0003119
40,45.4061,0.81231,2.03831,2.20668,1.23789,0.90451,0.72461,0.90169,0.68777,0.87355,0.70139,0.89482,0.59005,0.96134,1.37463,1.53848,1.45479,0.00030695,0.00030695,0.00030695
41,46.4371,0.79687,1.97461,2.1827,1.30498,0.94339,0.75611,0.90732,0.68108,0.94339,0.75611,0.90732,0.58518,0.96921,1.36312,1.50857,1.45759,0.000302,0.000302,0.000302
42,47.8068,0.76457,1.92513,2.12179,1.23436,0.93065,0.78256,0.90381,0.67688,0.93065,0.78256,0.90381,0.58312,0.98695,1.35083,1.49636,1.45287,0.00029705,0.00029705,0.00029705
43,48.6473,0.82893,1.83359,2.09003,1.24562,0.96238,0.82575,0.91711,0.6729,0.96238,0.82575,0.91711,0.58167,0.99524,1.33759,1.48864,1.45795,0.0002921,0.0002921,0.0002921
44,49.8791,0.82067,1.92789,2.05948,1.24897,0.95951,0.79841,0.91522,0.67548,0.95951,0.79841,0.91522,0.59452,0.9888,1.31432,1.45175,1.44667,0.00028715,0.00028715,0.00028715
