epoch,train_box_loss,train_seg_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_seg_loss,val_cls_loss,val_dfl_loss,precision,recall,mAP50,mAP50-95,mask_mAP50,mask_mAP50-95,learning_rate,timestamp
1,0,0,0,0,1.21089,4.79595,2.9971,1.90492,0.00513,0.76705,0.2718,0.15575,0.20199,0.05968,0.09040535714285715,2025-11-16 05:06:33
2,0,0,0,0,1.36739,3.20401,2.96937,2.03771,0.0052,0.76705,0.20642,0.13191,0.18031,0.06163,0.08045438482142858,2025-11-16 05:06:34
3,0,0,0,0,1.35097,2.61868,2.94606,2.03026,0.00514,0.76705,0.12905,0.09564,0.10908,0.05283,0.0705024225,2025-11-16 05:06:36
4,0,0,0,0,1.30144,2.54474,2.91396,1.96072,0.00464,0.70455,0.19725,0.14787,0.19844,0.07469,0.06054947017857143,2025-11-16 05:06:37
5,0,0,0,0,1.35032,2.46631,2.90473,1.94957,0.00487,0.7358,0.18028,0.12785,0.16662,0.07065,0.050595527857142865,2025-11-16 05:06:38
6,0,0,0,0,1.34668,2.50981,2.90201,1.92933,0.00488,0.7358,0.14374,0.1103,0.12928,0.0481,0.04064059553571429,2025-11-16 05:06:40
7,0,0,0,0,1.35986,2.39883,2.89186,1.9411,0.00465,0.70455,0.27133,0.20811,0.22174,0.08198,0.030684673214285724,2025-11-16 05:06:41
8,0,0,0,0,1.39026,2.43584,2.90623,1.98629,0.00539,0.7983,0.28649,0.17963,0.19757,0.06301,0.020727760892857147,2025-11-16 05:06:42
9,0,0,0,0,1.36719,2.30295,2.86874,1.96483,0.00513,0.76705,0.31406,0.21175,0.22768,0.09029,0.010769858571428578,2025-11-16 05:06:44
10,0,0,0,0,1.29835,2.32197,2.81627,1.90635,0.00513,0.76705,0.33542,0.2461,0.2838,0.09284,0.0008109662499999892,2025-11-16 05:06:45
11,0,0,0,0,1.27378,2.31193,2.81533,1.9375,0.00513,0.76705,0.36354,0.26717,0.3219,0.09684,0.0004505,2025-11-16 05:06:46
12,0,0,0,0,1.26295,2.27104,2.75082,1.9192,0.03265,0.6108,0.42299,0.30942,0.37657,0.12964,0.00044555,2025-11-16 05:06:48
13,0,0,0,0,1.19537,2.29005,2.6443,1.86174,1.0,0.08947,0.37514,0.25565,0.27921,0.0769,0.0004406,2025-11-16 05:06:49
14,0,0,0,0,1.25809,2.21085,2.63553,1.89185,1.0,0.12245,0.37071,0.29547,0.33507,0.10152,0.00043565,2025-11-16 05:06:51
15,0,0,0,0,1.1916,2.20215,2.59845,1.83574,0.99912,0.18182,0.37444,0.30375,0.34918,0.1117,0.0004307,2025-11-16 05:06:52
16,0,0,0,0,1.2054,2.13637,2.51786,1.82141,0.81866,0.31818,0.36778,0.30047,0.32575,0.12808,0.00042575,2025-11-16 05:06:53
17,0,0,0,0,1.21351,2.08991,2.48878,1.8228,0.78188,0.35307,0.36707,0.2999,0.32501,0.14012,0.00042080000000000004,2025-11-16 05:06:54
18,0,0,0,0,1.20857,2.04884,2.42747,1.77937,0.80609,0.43122,0.40791,0.33227,0.36817,0.15841,0.00041585,2025-11-16 05:06:56
19,0,0,0,0,1.22852,2.01502,2.40186,1.80016,0.79279,0.36364,0.43124,0.35237,0.39037,0.17846,0.00041090000000000007,2025-11-16 05:06:57
20,0,0,0,0,1.19779,1.95948,2.32974,1.76709,0.80475,0.36364,0.44334,0.35476,0.40667,0.20402,0.00040595000000000003,2025-11-16 05:06:58
21,0,0,0,0,1.17705,1.91818,2.27191,1.72462,0.81888,0.36364,0.47687,0.37189,0.44479,0.22032,0.00040100000000000004,2025-11-16 05:07:00
22,0,0,0,0,1.204,1.86772,2.26469,1.73098,0.86282,0.36093,0.47497,0.36504,0.44029,0.20785,0.00039605,2025-11-16 05:07:01
23,0,0,0,0,1.17458,1.85883,2.25408,1.70578,0.8629,0.36118,0.5038,0.38986,0.45846,0.23706,0.0003911,2025-11-16 05:07:02
24,0,0,0,0,1.18689,1.86978,2.20834,1.7068,0.86107,0.36364,0.50817,0.39248,0.4589,0.25581,0.00038615,2025-11-16 05:07:04
25,0,0,0,0,1.13442,1.86319,2.13106,1.66494,0.7613,0.4539,0.57097,0.43063,0.53172,0.28267,0.0003812,2025-11-16 05:07:05
26,0,0,0,0,1.12454,1.87137,2.08247,1.63339,0.78127,0.46277,0.58632,0.44195,0.56214,0.30229,0.00037624999999999996,2025-11-16 05:07:06
27,0,0,0,0,1.11664,1.89608,2.0715,1.61428,0.78792,0.46326,0.58459,0.446,0.54934,0.31376,0.0003713,2025-11-16 05:07:08
28,0,0,0,0,1.10456,1.909,2.06324,1.61157,0.76678,0.46457,0.58773,0.45217,0.55804,0.31457,0.00036635000000000004,2025-11-16 05:07:09
29,0,0,0,0,1.09622,1.94958,2.06265,1.60466,0.78285,0.47114,0.59808,0.45321,0.56163,0.33286,0.0003614,2025-11-16 05:07:10
30,0,0,0,0,1.10926,1.97303,2.04145,1.61026,0.7524,0.46883,0.62571,0.45696,0.57044,0.31712,0.00035645,2025-11-16 05:07:12
31,0,0,0,0,1.07634,2.00256,2.01396,1.5998,0.75995,0.48277,0.65739,0.47219,0.60927,0.33502,0.0003515,2025-11-16 05:07:13
32,0,0,0,0,1.11087,1.96274,2.05056,1.62586,0.76958,0.49828,0.6516,0.45801,0.61944,0.3293,0.00034655,2025-11-16 05:07:14
33,0,0,0,0,1.11226,1.89124,2.0178,1.62652,0.78142,0.50404,0.65982,0.46733,0.63192,0.32934,0.00034159999999999995,2025-11-16 05:07:16
34,0,0,0,0,1.10509,1.89751,2.02178,1.63268,0.78454,0.4714,0.67836,0.50107,0.63022,0.34919,0.00033664999999999997,2025-11-16 05:07:17
35,0,0,0,0,1.09633,1.85358,1.98838,1.59634,0.78374,0.4789,0.693,0.50177,0.64988,0.35779,0.00033169999999999993,2025-11-16 05:07:18
36,0,0,0,0,1.10581,1.80294,1.94114,1.60575,0.78332,0.52621,0.71144,0.51345,0.68258,0.36474,0.00032675,2025-11-16 05:07:20
37,0,0,0,0,1.08197,1.79017,1.92949,1.592,0.78646,0.53166,0.71288,0.51285,0.68495,0.35569,0.0003218,2025-11-16 05:07:21
38,0,0,0,0,1.06952,1.72774,1.89743,1.59419,0.79107,0.54206,0.70484,0.52556,0.67802,0.39409,0.00031685000000000003,2025-11-16 05:07:22
39,0,0,0,0,1.08988,1.72079,1.86776,1.60589,0.78824,0.54861,0.70757,0.5133,0.67181,0.36568,0.0003119,2025-11-16 05:07:24
40,0,0,0,0,1.05959,1.67291,1.81131,1.57616,0.8067,0.59988,0.73886,0.55357,0.69663,0.39822,0.00030695,2025-11-16 05:07:25
41,0,0,0,0,1.06879,1.63941,1.8099,1.57498,0.80358,0.57768,0.72597,0.53123,0.67607,0.3801,0.000302,2025-11-16 05:07:27
42,0,0,0,0,1.06612,1.611,1.75388,1.57767,0.7425,0.6073,0.71075,0.53941,0.66715,0.39059,0.00029705000000000004,2025-11-16 05:07:28
43,0,0,0,0,1.07315,1.58491,1.75339,1.58046,0.73582,0.60599,0.71291,0.5383,0.66501,0.38365,0.00029210000000000005,2025-11-16 05:07:30
44,0,0,0,0,1.10263,1.54442,1.76253,1.60357,0.82705,0.66142,0.73494,0.55188,0.6818,0.39257,0.00028715,2025-11-16 05:07:31
45,0,0,0,0,1.0852,1.53151,1.7043,1.59302,0.83033,0.58361,0.75181,0.52822,0.69847,0.39368,0.00028220000000000003,2025-11-16 05:07:33
46,0,0,0,0,1.06431,1.49383,1.65392,1.59102,0.6702,0.64205,0.74085,0.52462,0.69502,0.39219,0.00027725,2025-11-16 05:07:34
47,0,0,0,0,1.08478,1.50081,1.68153,1.60289,0.7279,0.62452,0.72686,0.52101,0.68674,0.38596,0.00027230000000000006,2025-11-16 05:07:36
48,0,0,0,0,1.06042,1.49583,1.65127,1.58072,0.71828,0.58632,0.72428,0.52621,0.68621,0.38441,0.00026735,2025-11-16 05:07:37
49,0,0,0,0,1.06845,1.48378,1.61939,1.5849,0.63446,0.68269,0.72951,0.5195,0.69459,0.3823,0.00026240000000000004,2025-11-16 05:07:39
50,0,0,0,0,1.06171,1.47683,1.58759,1.56041,0.65852,0.69537,0.7458,0.52765,0.71025,0.39279,0.00025745,2025-11-16 05:07:41
51,0,0,0,0,1.02776,1.47497,1.55772,1.53374,0.65163,0.70455,0.75031,0.54332,0.75031,0.3992,0.0002525,2025-11-16 05:07:43
52,0,0,0,0,1.02193,1.49755,1.53416,1.53557,0.68047,0.68567,0.75116,0.55365,0.75116,0.41674,0.00024754999999999997,2025-11-16 05:07:44
