epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.04271,1.69445,7.28761,3.0157,2.0037,0.00513,0.76705,0.2718,0.15575,0.00487,0.72159,0.20199,0.05968,1.21089,4.79595,2.9971,1.90492,0.0904054,4.82143e-05,4.82143e-05
2,3.42937,1.69254,3.6617,2.97677,2.03564,0.0052,0.76705,0.20642,0.13191,0.00491,0.72159,0.18031,0.06163,1.36739,3.20401,2.96937,2.03771,0.0804544,9.7242e-05,9.7242e-05
3,4.80658,1.62531,3.34195,2.91665,1.9695,0.00514,0.76705,0.12905,0.09564,0.00463,0.69034,0.10908,0.05283,1.35097,2.61868,2.94606,2.03026,0.0705024,0.00014528,0.00014528
4,6.1626,1.5141,3.17262,2.88977,1.85973,0.00464,0.70455,0.19725,0.14787,0.00437,0.65909,0.19844,0.07469,1.30144,2.54474,2.91396,1.96072,0.0605495,0.000192327,0.000192327
5,7.57359,1.53241,3.02867,2.88253,1.90226,0.00487,0.7358,0.18028,0.12785,0.00462,0.70455,0.16662,0.07065,1.35032,2.46631,2.90473,1.94957,0.0505955,0.000238385,0.000238385
6,9.01261,1.5522,2.84602,2.89922,1.88547,0.00488,0.7358,0.14374,0.1103,0.00463,0.70455,0.12928,0.0481,1.34668,2.50981,2.90201,1.92933,0.0406406,0.000283453,0.000283453
7,10.3428,1.50346,2.91508,2.84233,1.85661,0.00465,0.70455,0.27133,0.20811,0.00465,0.70455,0.22174,0.08198,1.35986,2.39883,2.89186,1.9411,0.0306847,0.00032753,0.00032753
8,11.7494,1.45717,2.69737,2.84455,1.81172,0.00539,0.7983,0.28649,0.17963,0.00515,0.76705,0.19757,0.06301,1.39026,2.43584,2.90623,1.98629,0.0207278,0.000370618,0.000370618
9,13.0741,1.37786,2.49735,2.77767,1.73312,0.00513,0.76705,0.31406,0.21175,0.00487,0.7358,0.22768,0.09029,1.36719,2.30295,2.86874,1.96483,0.0107699,0.000412716,0.000412716
10,14.4501,1.3424,2.57514,2.7783,1.71469,0.00513,0.76705,0.33542,0.2461,0.00513,0.76705,0.2838,0.09284,1.29835,2.32197,2.81627,1.90635,0.000810966,0.000453823,0.000453823
11,15.7795,1.35381,2.56645,2.77278,1.7102,0.00513,0.76705,0.36354,0.26717,0.00487,0.72159,0.3219,0.09684,1.27378,2.31193,2.81533,1.9375,0.0004505,0.0004505,0.0004505
12,17.1319,1.22599,2.55952,2.69917,1.61003,0.03265,0.6108,0.42299,0.30942,0.03131,0.56534,0.37657,0.12964,1.26295,2.27104,2.75082,1.9192,0.00044555,0.00044555,0.00044555
13,18.4734,1.32044,2.44797,2.70346,1.67237,1,0.08947,0.37514,0.25565,1,0.08913,0.27921,0.0769,1.19537,2.29005,2.6443,1.86174,0.0004406,0.0004406,0.0004406
14,19.809,1.20834,2.33771,2.64182,1.58059,1,0.12245,0.37071,0.29547,1,0.11905,0.33507,0.10152,1.25809,2.21085,2.63553,1.89185,0.00043565,0.00043565,0.00043565
15,21.1509,1.24719,2.42892,2.62382,1.61657,0.99912,0.18182,0.37444,0.30375,1,0.17953,0.34918,0.1117,1.1916,2.20215,2.59845,1.83574,0.0004307,0.0004307,0.0004307
16,22.4669,1.2212,2.58018,2.57561,1.58349,0.81866,0.31818,0.36778,0.30047,0.81866,0.31818,0.32575,0.12808,1.2054,2.13637,2.51786,1.82141,0.00042575,0.00042575,0.00042575
17,23.7703,1.22151,2.34731,2.57336,1.62286,0.78188,0.35307,0.36707,0.2999,0.74553,0.30762,0.32501,0.14012,1.21351,2.08991,2.48878,1.8228,0.0004208,0.0004208,0.0004208
18,25.1024,1.23445,2.34743,2.57547,1.5739,0.80609,0.43122,0.40791,0.33227,0.76667,0.36366,0.36817,0.15841,1.20857,2.04884,2.42747,1.77937,0.00041585,0.00041585,0.00041585
19,26.4094,1.21063,2.4023,2.54505,1.57733,0.79279,0.36364,0.43124,0.35237,0.75068,0.32004,0.39037,0.17846,1.22852,2.01502,2.40186,1.80016,0.0004109,0.0004109,0.0004109
20,27.7401,1.19523,2.17999,2.48494,1.55756,0.80475,0.36364,0.44334,0.35476,0.79556,0.31818,0.40667,0.20402,1.19779,1.95948,2.32974,1.76709,0.00040595,0.00040595,0.00040595
21,29.0573,1.22162,2.219,2.55387,1.58147,0.81888,0.36364,0.47687,0.37189,0.80378,0.31818,0.44479,0.22032,1.17705,1.91818,2.27191,1.72462,0.000401,0.000401,0.000401
22,30.3809,1.19229,2.21319,2.48632,1.56108,0.86282,0.36093,0.47497,0.36504,0.7221,0.36331,0.44029,0.20785,1.204,1.86772,2.26469,1.73098,0.00039605,0.00039605,0.00039605
23,31.7043,1.24847,2.36789,2.47561,1.59296,0.8629,0.36118,0.5038,0.38986,0.73636,0.40909,0.45846,0.23706,1.17458,1.85883,2.25408,1.70578,0.0003911,0.0003911,0.0003911
24,33.0052,1.16014,2.25052,2.41656,1.5101,0.86107,0.36364,0.50817,0.39248,0.85934,0.27273,0.4589,0.25581,1.18689,1.86978,2.20834,1.7068,0.00038615,0.00038615,0.00038615
25,34.3364,1.1004,2.06567,2.36165,1.4828,0.7613,0.4539,0.57097,0.43063,0.61842,0.39489,0.53172,0.28267,1.13442,1.86319,2.13106,1.66494,0.0003812,0.0003812,0.0003812
26,35.659,1.18345,2.09936,2.34503,1.53911,0.78127,0.46277,0.58632,0.44195,0.74896,0.41782,0.56214,0.30229,1.12454,1.87137,2.08247,1.63339,0.00037625,0.00037625,0.00037625
27,36.9634,1.1848,2.13713,2.31684,1.52565,0.78792,0.46326,0.58459,0.446,0.75593,0.41781,0.54934,0.31376,1.11664,1.89608,2.0715,1.61428,0.0003713,0.0003713,0.0003713
28,38.2839,1.06741,2.10804,2.28143,1.44924,0.76678,0.46457,0.58773,0.45217,0.7369,0.41951,0.55804,0.31457,1.10456,1.909,2.06324,1.61157,0.00036635,0.00036635,0.00036635
29,39.6065,1.11732,2.00886,2.25908,1.4851,0.78285,0.47114,0.59808,0.45321,0.75143,0.42568,0.56163,0.33286,1.09622,1.94958,2.06265,1.60466,0.0003614,0.0003614,0.0003614
30,40.9316,1.14954,2.00535,2.30708,1.51524,0.7524,0.46883,0.62571,0.45696,0.72506,0.42313,0.57044,0.31712,1.10926,1.97303,2.04145,1.61026,0.00035645,0.00035645,0.00035645
31,42.2288,1.1398,1.81392,2.27865,1.50038,0.75995,0.48277,0.65739,0.47219,0.73106,0.43732,0.60927,0.33502,1.07634,2.00256,2.01396,1.5998,0.0003515,0.0003515,0.0003515
32,43.5636,1.12054,1.85316,2.2635,1.46866,0.76958,0.49828,0.6516,0.45801,0.73899,0.45393,0.61944,0.3293,1.11087,1.96274,2.05056,1.62586,0.00034655,0.00034655,0.00034655
33,44.8841,1.15296,1.85654,2.23693,1.50142,0.78142,0.50404,0.65982,0.46733,0.74967,0.45961,0.63192,0.32934,1.11226,1.89124,2.0178,1.62652,0.0003416,0.0003416,0.0003416
34,46.2127,1.12484,1.92997,2.15354,1.45737,0.78454,0.4714,0.67836,0.50107,0.75293,0.42595,0.63022,0.34919,1.10509,1.89751,2.02178,1.63268,0.00033665,0.00033665,0.00033665
35,47.554,1.15588,1.95485,2.21331,1.47839,0.78374,0.4789,0.693,0.50177,0.75222,0.43344,0.64988,0.35779,1.09633,1.85358,1.98838,1.59634,0.0003317,0.0003317,0.0003317
36,48.8951,1.16145,1.95755,2.15931,1.52204,0.78332,0.52621,0.71144,0.51345,0.75165,0.48386,0.68258,0.36474,1.10581,1.80294,1.94114,1.60575,0.00032675,0.00032675,0.00032675
37,50.4038,1.152,1.94395,2.16987,1.48676,0.78646,0.53166,0.71288,0.51285,0.75463,0.48621,0.68495,0.35569,1.08197,1.79017,1.92949,1.592,0.0003218,0.0003218,0.0003218
38,51.728,1.13752,1.93427,2.06853,1.46789,0.79107,0.54206,0.70484,0.52556,0.75842,0.50024,0.67802,0.39409,1.06952,1.72774,1.89743,1.59419,0.00031685,0.00031685,0.00031685
39,53.272,1.13746,1.9423,2.09559,1.47358,0.78824,0.54861,0.70757,0.5133,0.75621,0.50316,0.67181,0.36568,1.08988,1.72079,1.86776,1.60589,0.0003119,0.0003119,0.0003119
40,54.6634,1.157,1.99789,2.10116,1.48265,0.8067,0.59988,0.73886,0.55357,0.77448,0.55443,0.69663,0.39822,1.05959,1.67291,1.81131,1.57616,0.00030695,0.00030695,0.00030695
41,56.0463,1.05599,1.84613,2.0045,1.42113,0.80358,0.57768,0.72597,0.53123,0.76954,0.52727,0.67607,0.3801,1.06879,1.63941,1.8099,1.57498,0.000302,0.000302,0.000302
