epoch,train_box_loss,train_seg_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_seg_loss,val_cls_loss,val_dfl_loss,precision,recall,mAP50,mAP50-95,mask_mAP50,mask_mAP50-95,learning_rate,timestamp
1,0,0,0,0,2.98292,154.7115,3.6733,4.03607,0.00484,0.50926,0.00478,0.00117,0.0,0.0,0.090448,2025-11-16 04:59:01
2,0,0,0,0,2.77836,43.34523,3.39612,3.66306,0.00525,0.65741,0.18331,0.05286,0.05374,0.01089,0.08049702980000001,2025-11-16 04:59:03
3,0,0,0,0,1.53957,19.89417,2.82668,2.1732,0.01406,0.80556,0.42065,0.23532,0.28994,0.09906,0.07054506960000001,2025-11-16 04:59:04
4,0,0,0,0,1.5438,10.5734,2.11821,2.13351,0.67038,0.47822,0.54889,0.36884,0.41096,0.18955,0.060592119400000005,2025-11-16 04:59:05
5,0,0,0,0,1.40017,4.19693,1.86188,1.94791,0.58443,0.65741,0.58937,0.4042,0.50145,0.22955,0.0506381792,2025-11-16 04:59:07
6,0,0,0,0,1.48501,3.24785,1.85914,1.97904,0.54641,0.53704,0.55983,0.38525,0.53828,0.23196,0.040683249000000005,2025-11-16 04:59:08
7,0,0,0,0,1.38489,2.66045,1.78033,1.93223,0.51328,0.65902,0.58946,0.38356,0.55188,0.20506,0.03072732880000001,2025-11-16 04:59:09
8,0,0,0,0,1.2329,2.39973,1.54964,1.72886,0.63067,0.66589,0.67329,0.43917,0.45781,0.2166,0.020770418600000007,2025-11-16 04:59:10
9,0,0,0,0,1.32212,2.2601,1.61219,1.8319,0.76218,0.72222,0.72425,0.48447,0.62017,0.27684,0.010812518399999999,2025-11-16 04:59:12
10,0,0,0,0,1.40125,1.81143,1.5178,1.88247,0.84982,0.701,0.7262,0.46769,0.71218,0.37284,0.0008536281999999978,2025-11-16 04:59:13
11,0,0,0,0,1.38904,1.73233,1.39404,1.81737,0.84956,0.69396,0.72544,0.47201,0.68791,0.35457,0.0004505,2025-11-16 04:59:14
12,0,0,0,0,1.28671,1.72016,1.30779,1.75302,0.73665,0.71296,0.7491,0.48136,0.70883,0.37885,0.00044555,2025-11-16 04:59:15
13,0,0,0,0,1.26556,1.9203,1.24293,1.72842,0.7498,0.64815,0.73071,0.50867,0.70917,0.40011,0.0004406,2025-11-16 04:59:17
14,0,0,0,0,1.31182,1.83798,1.25891,1.7789,0.80485,0.6272,0.72626,0.50283,0.7147,0.3884,0.00043565,2025-11-16 04:59:18
15,0,0,0,0,1.31622,2.14978,1.2381,1.74409,0.71125,0.68979,0.70856,0.49855,0.64921,0.32416,0.0004307,2025-11-16 04:59:19
16,0,0,0,0,1.24542,1.89898,1.16895,1.69031,0.73682,0.74074,0.80251,0.51912,0.73547,0.35937,0.00042575,2025-11-16 04:59:20
17,0,0,0,0,1.17725,1.79004,1.23259,1.6237,0.77357,0.69341,0.73094,0.51726,0.6836,0.36387,0.00042080000000000004,2025-11-16 04:59:22
18,0,0,0,0,1.19011,2.26542,1.22258,1.67915,0.75148,0.7037,0.74835,0.55115,0.5998,0.30842,0.00041585,2025-11-16 04:59:23
19,0,0,0,0,1.2449,2.26725,1.15333,1.73505,0.73002,0.71296,0.74094,0.52916,0.60493,0.31058,0.00041090000000000007,2025-11-16 04:59:24
20,0,0,0,0,1.19564,1.65573,1.12813,1.67614,0.73793,0.79226,0.77917,0.54428,0.76381,0.40607,0.00040595000000000003,2025-11-16 04:59:26
21,0,0,0,0,1.17975,1.49399,1.17998,1.61954,0.69069,0.73148,0.76148,0.5458,0.74125,0.4337,0.00040100000000000004,2025-11-16 04:59:27
22,0,0,0,0,1.16566,1.45113,1.21864,1.64182,0.68533,0.82917,0.78366,0.54364,0.76935,0.44441,0.00039605,2025-11-16 04:59:28
23,0,0,0,0,1.22191,1.97002,1.1945,1.65847,0.76513,0.70511,0.77384,0.52563,0.66793,0.31305,0.0003911,2025-11-16 04:59:29
24,0,0,0,0,1.20629,1.64489,1.18714,1.63209,0.79883,0.72894,0.78312,0.54029,0.73583,0.40871,0.00038615,2025-11-16 04:59:31
25,0,0,0,0,1.15988,1.59872,1.03998,1.59162,0.80765,0.78777,0.82159,0.56687,0.82947,0.4722,0.0003812,2025-11-16 04:59:32
26,0,0,0,0,1.22564,1.69575,1.03086,1.66592,0.79441,0.76852,0.82565,0.55351,0.78423,0.43706,0.00037624999999999996,2025-11-16 04:59:33
27,0,0,0,0,1.19257,1.65897,1.0276,1.63796,0.83546,0.76852,0.82226,0.56272,0.75344,0.40763,0.0003713,2025-11-16 04:59:34
28,0,0,0,0,1.21089,1.63205,1.04683,1.65064,0.86433,0.78202,0.82162,0.53987,0.80196,0.41406,0.00036635000000000004,2025-11-16 04:59:36
29,0,0,0,0,1.20232,1.57129,1.0396,1.70243,0.81231,0.7563,0.79783,0.54439,0.7904,0.44303,0.0003614,2025-11-16 04:59:37
30,0,0,0,0,1.15949,1.6202,1.06209,1.68768,0.82741,0.71296,0.78158,0.56096,0.77603,0.44655,0.00035645,2025-11-16 04:59:39
31,0,0,0,0,1.19448,1.7355,1.03507,1.7146,0.79897,0.74315,0.8067,0.56116,0.78643,0.42364,0.0003515,2025-11-16 04:59:40
32,0,0,0,0,1.24221,1.72163,1.00764,1.73362,0.84766,0.72962,0.77833,0.5404,0.75553,0.37713,0.00034655,2025-11-16 04:59:41
33,0,0,0,0,1.22415,1.47903,1.03801,1.72009,0.83905,0.72575,0.77282,0.52969,0.75258,0.41889,0.00034159999999999995,2025-11-16 04:59:43
34,0,0,0,0,1.15686,1.46574,1.07389,1.6641,0.76759,0.76852,0.77244,0.54714,0.76488,0.46249,0.00033664999999999997,2025-11-16 04:59:44
35,0,0,0,0,1.19873,1.75429,1.01434,1.69578,0.84008,0.73148,0.78521,0.58263,0.76568,0.44315,0.00033169999999999993,2025-11-16 04:59:45
36,0,0,0,0,1.21669,1.822,0.98908,1.73128,0.84396,0.73148,0.785,0.57535,0.76584,0.44172,0.00032675,2025-11-16 04:59:47
37,0,0,0,0,1.19429,1.64335,0.97988,1.71032,0.88301,0.75,0.82858,0.58273,0.8322,0.47629,0.0003218,2025-11-16 04:59:48
38,0,0,0,0,1.15809,1.55294,0.97883,1.6745,0.87293,0.75459,0.8293,0.59327,0.83226,0.49131,0.00031685000000000003,2025-11-16 04:59:50
39,0,0,0,0,1.13534,1.53126,1.01771,1.61022,0.9115,0.72645,0.82082,0.59923,0.81463,0.46243,0.0003119,2025-11-16 04:59:51
40,0,0,0,0,1.1513,1.78192,1.01244,1.60453,0.82747,0.72139,0.7815,0.57476,0.82715,0.4407,0.00030695,2025-11-16 04:59:52
41,0,0,0,0,1.16655,1.62106,0.99406,1.65381,0.84622,0.73779,0.80828,0.57184,0.8208,0.44143,0.000302,2025-11-16 04:59:53
42,0,0,0,0,1.18596,1.48715,0.96232,1.69478,0.83907,0.72596,0.81892,0.57864,0.80087,0.47036,0.00029705000000000004,2025-11-16 04:59:55
43,0,0,0,0,1.18118,1.54685,0.97292,1.69253,0.82126,0.75,0.80365,0.5775,0.78647,0.46571,0.00029210000000000005,2025-11-16 04:59:56
44,0,0,0,0,1.18841,1.69303,0.99303,1.70474,0.77892,0.78312,0.80236,0.57376,0.76657,0.43898,0.00028715,2025-11-16 04:59:58
45,0,0,0,0,1.17142,1.56132,1.02375,1.66422,0.78123,0.78704,0.80629,0.56606,0.77861,0.46977,0.00028220000000000003,2025-11-16 04:59:59
46,0,0,0,0,1.16856,1.42731,1.03249,1.64585,0.79499,0.76852,0.81996,0.56415,0.80419,0.4848,0.00027725,2025-11-16 05:00:00
47,0,0,0,0,1.20136,1.348,1.01235,1.67266,0.85315,0.73894,0.81977,0.5677,0.80628,0.47311,0.00027230000000000006,2025-11-16 05:00:02
48,0,0,0,0,1.16182,1.37262,1.02432,1.65596,0.8459,0.72158,0.82134,0.57194,0.82074,0.48054,0.00026735,2025-11-16 05:00:03
49,0,0,0,0,1.15052,1.52436,0.98108,1.64586,0.88954,0.72331,0.82285,0.5878,0.82229,0.45775,0.00026240000000000004,2025-11-16 05:00:05
50,0,0,0,0,1.14795,1.63876,0.94122,1.6121,0.76662,0.82958,0.85814,0.61082,0.84171,0.46951,0.00025745,2025-11-16 05:00:06
51,0,0,0,0,1.14196,1.45717,0.95383,1.62534,0.77619,0.84821,0.8438,0.60056,0.83819,0.494,0.0002525,2025-11-16 05:00:07
52,0,0,0,0,1.138,1.42503,0.96726,1.64281,0.73552,0.85185,0.84809,0.588,0.84303,0.50135,0.00024754999999999997,2025-11-16 05:00:09
53,0,0,0,0,1.18598,1.57947,0.91999,1.72825,0.76608,0.79309,0.82532,0.57049,0.84413,0.47288,0.0002426,2025-11-16 05:00:10
