epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4285,1.57156,8.26905,1.45689,0.00453,0.35049,0.02728,0.01811,1.13811,6.84201,1.36997,5.716e-05,5.716e-05,5.716e-05
2,5.67902,1.53806,7.24504,1.48326,0.73564,0.22839,0.32287,0.25422,1.02998,5.72042,1.26595,0.000126488,0.000126488,0.000126488
3,8.07108,1.22547,3.68358,1.28769,0.87393,0.73393,0.78329,0.53154,1.44898,4.41974,1.4084,0.000193458,0.000193458,0.000193458
4,10.2702,1.22315,3.06326,1.34086,0.87397,0.71563,0.76809,0.52992,1.37568,2.7313,1.3473,0.00025807,0.00025807,0.00025807
5,12.3975,0.96137,1.86955,1.11333,0.96562,0.78431,0.8322,0.63753,1.06757,2.91804,1.21643,0.000320325,0.000320325,0.000320325
6,14.5366,1.10477,1.67893,1.22588,0.92843,0.72465,0.83789,0.59872,1.19212,6.39479,1.30256,0.000380221,0.000380221,0.000380221
7,16.5942,1.06347,1.53813,1.2108,0.81485,0.85065,0.86286,0.63269,1.20743,5.31154,1.34257,0.00043776,0.00043776,0.00043776
8,18.4936,1.17238,1.59433,1.21926,0.90138,0.87831,0.89673,0.63712,1.22301,1.79753,1.34925,0.000492941,0.000492941,0.000492941
9,20.4634,1.20689,1.71653,1.30587,0.7291,0.86623,0.89274,0.5823,1.34718,1.6301,1.42161,0.000545764,0.000545764,0.000545764
10,22.3137,1.0266,1.27357,1.19807,0.83331,0.83439,0.85191,0.52024,1.42962,1.27792,1.52606,0.000596229,0.000596229,0.000596229
11,24.1565,0.95276,1.08106,1.10479,0.75054,0.83686,0.86266,0.57197,1.48123,1.48084,1.57114,0.000644336,0.000644336,0.000644336
12,26.0063,1.03679,1.09875,1.17599,0.78756,0.88235,0.88663,0.57079,1.40391,1.16917,1.52717,0.000690086,0.000690086,0.000690086
13,27.8477,1.17954,1.10336,1.28441,0.76351,0.81146,0.87922,0.53436,1.49019,1.30547,1.57832,0.000733477,0.000733477,0.000733477
14,29.6748,1.18874,1.12588,1.235,0.84898,0.84069,0.87719,0.54755,1.3133,1.28152,1.35716,0.000774511,0.000774511,0.000774511
15,31.5501,0.97839,0.91168,1.23681,0.9162,0.92129,0.92473,0.59507,1.24377,0.9883,1.37229,0.000813187,0.000813187,0.000813187
16,33.3806,1.10701,0.92643,1.20658,0.89319,0.88235,0.88636,0.60208,1.24094,1.05501,1.39769,0.000849505,0.000849505,0.000849505
17,35.3341,1.00625,0.86571,1.19487,0.76931,0.80392,0.86867,0.58838,1.24981,1.01936,1.49953,0.000883465,0.000883465,0.000883465
18,37.2048,0.9335,0.98269,1.11103,0.7825,0.84314,0.83501,0.5923,1.09034,1.01756,1.30901,0.000915067,0.000915067,0.000915067
19,39.0432,0.8528,0.72014,1.10311,0.8535,0.90196,0.90698,0.61427,1.10463,0.95643,1.30668,0.000944312,0.000944312,0.000944312
20,40.8745,1.00242,0.82787,1.10306,0.81375,0.84314,0.87736,0.62966,1.08453,0.93736,1.26696,0.000971198,0.000971198,0.000971198
21,42.8675,0.83881,0.72068,1.05065,0.88665,0.81634,0.87066,0.6225,1.06975,0.87058,1.24858,0.00095743,0.00095743,0.00095743
22,44.8065,0.76786,0.62975,1.05099,0.80846,0.86275,0.89855,0.63977,1.08571,0.91195,1.26522,0.000933851,0.000933851,0.000933851
23,46.8055,0.97173,0.77904,1.12039,0.77258,0.88235,0.88999,0.64362,1.09054,0.86947,1.26913,0.000910273,0.000910273,0.000910273
24,48.8179,0.87121,0.7246,1.10569,0.82971,0.93071,0.89391,0.67992,0.95898,0.78812,1.18232,0.000886694,0.000886694,0.000886694
25,50.7424,0.8756,0.69948,1.09741,0.86579,0.87625,0.90022,0.68867,1.01144,0.81843,1.20276,0.000863116,0.000863116,0.000863116
26,52.6966,0.78287,0.61685,1.02806,0.93923,0.90196,0.93557,0.67712,1.06465,0.83298,1.24785,0.000839537,0.000839537,0.000839537
27,54.6482,0.84614,0.62289,1.04158,0.93043,0.90196,0.9232,0.65232,1.13256,0.92355,1.30373,0.000815959,0.000815959,0.000815959
28,56.4807,0.89487,0.69317,1.13802,0.85523,0.86275,0.91692,0.68771,1.02294,0.97962,1.19621,0.00079238,0.00079238,0.00079238
29,58.4101,0.90908,0.70489,1.09858,0.90738,0.84508,0.93597,0.69257,1.03005,0.9025,1.19996,0.000768802,0.000768802,0.000768802
30,60.4494,0.98314,0.72471,1.13196,0.87941,0.90196,0.93815,0.68589,1.08039,0.8278,1.24561,0.000745223,0.000745223,0.000745223
31,62.4645,0.88427,0.64094,1.0776,0.93425,0.91292,0.94275,0.66767,1.10793,0.83474,1.27552,0.000721645,0.000721645,0.000721645
32,64.4376,0.83296,0.61964,1.0284,0.87834,0.91831,0.92561,0.69567,0.99568,0.73159,1.17291,0.000698066,0.000698066,0.000698066
33,66.4916,0.91797,0.66372,1.0832,0.89907,0.90196,0.92669,0.71288,0.97296,0.71257,1.15495,0.000674488,0.000674488,0.000674488
34,68.4979,0.78447,0.61017,1.03664,0.91134,0.87561,0.92455,0.69705,0.99925,0.69263,1.1746,0.000650909,0.000650909,0.000650909
35,70.5744,0.81981,0.62325,1.03906,0.86803,0.91505,0.9198,0.67069,1.00474,0.69924,1.19213,0.000627331,0.000627331,0.000627331
36,72.621,0.91788,0.68278,1.08958,0.86508,0.90196,0.92012,0.66927,0.95818,0.62113,1.20803,0.000603752,0.000603752,0.000603752
37,74.6505,0.73012,0.53482,0.99589,0.87288,0.89353,0.9177,0.66972,0.93613,0.59081,1.18676,0.000580174,0.000580174,0.000580174
38,76.4817,0.76578,0.58583,1.03483,0.83515,0.92157,0.90762,0.6798,0.91642,0.60423,1.17837,0.000556595,0.000556595,0.000556595
39,78.5832,0.84347,0.63733,1.10046,0.86861,0.90486,0.91587,0.69615,0.8929,0.61348,1.15706,0.000533017,0.000533017,0.000533017
40,80.7913,0.72129,0.5273,1.00983,0.89975,0.90196,0.9269,0.70084,0.91193,0.6341,1.15411,0.000509438,0.000509438,0.000509438
41,82.9255,0.78898,0.58613,1.03742,0.89988,0.91459,0.93617,0.7271,0.89614,0.59415,1.1389,0.00048586,0.00048586,0.00048586
42,85.2137,0.71747,0.53719,1.00477,0.89461,0.89308,0.93935,0.74102,0.87037,0.57309,1.12603,0.000462281,0.000462281,0.000462281
43,87.1478,0.80648,0.58201,1.0594,0.93863,0.87405,0.94243,0.72828,0.90405,0.57076,1.13139,0.000438703,0.000438703,0.000438703
44,89.1365,0.93922,0.64616,1.10321,0.94782,0.87476,0.93185,0.69292,0.99909,0.62077,1.16692,0.000415124,0.000415124,0.000415124
45,90.9985,0.75563,0.53084,0.99897,0.94547,0.86275,0.92924,0.70062,0.95949,0.6079,1.15729,0.000391546,0.000391546,0.000391546
46,93.0771,0.60264,0.46179,0.95412,0.8546,0.92157,0.91878,0.71683,0.90584,0.59233,1.15391,0.000367967,0.000367967,0.000367967
47,95.1054,0.67923,0.48288,1.01016,0.88098,0.9192,0.91916,0.71654,0.89408,0.58622,1.14741,0.000344389,0.000344389,0.000344389
48,97.0881,0.69651,0.51963,1.01605,0.93831,0.86275,0.92765,0.70899,0.90699,0.53364,1.14799,0.00032081,0.00032081,0.00032081
49,99.1777,0.65761,0.49955,0.97814,0.88396,0.90196,0.93419,0.71526,0.92563,0.53299,1.15298,0.000297232,0.000297232,0.000297232
50,101.16,0.72233,0.51992,1.00655,0.84957,0.96078,0.9469,0.72482,0.91931,0.53233,1.13708,0.000273654,0.000273654,0.000273654
51,106.601,0.79785,0.56891,1.04233,0.86105,0.96078,0.95067,0.73322,0.95037,0.54103,1.1426,0.000250075,0.000250075,0.000250075
52,108.968,0.75923,0.55795,1.10947,0.88682,0.974,0.95407,0.72107,0.94318,0.54314,1.13938,0.000226497,0.000226497,0.000226497
53,111.007,0.7232,0.53536,1.01145,0.87764,0.96078,0.95252,0.71984,0.94315,0.53721,1.14416,0.000202918,0.000202918,0.000202918
54,112.877,0.66436,0.49114,0.9731,0.89074,0.96078,0.96074,0.7368,0.92489,0.53479,1.14285,0.00017934,0.00017934,0.00017934
55,114.911,0.68376,0.49813,1.01379,0.87555,0.96078,0.9567,0.73172,0.94874,0.52176,1.15156,0.000155761,0.000155761,0.000155761
56,116.812,0.69703,0.47859,1.05789,0.89212,0.98039,0.96162,0.72826,0.9497,0.51936,1.15132,0.000132183,0.000132183,0.000132183
57,118.821,0.64431,0.45802,0.94495,0.90077,0.98039,0.96255,0.73338,0.95393,0.52712,1.15401,0.000108604,0.000108604,0.000108604
58,120.625,0.63306,0.43674,0.9943,0.90401,0.97975,0.9639,0.73765,0.9381,0.52256,1.15143,8.50255e-05,8.50255e-05,8.50255e-05
59,122.457,0.66182,0.50565,1.01213,0.90331,0.98039,0.96387,0.73869,0.9359,0.52589,1.15038,6.1447e-05,6.1447e-05,6.1447e-05
60,124.503,0.71012,0.48697,1.02957,0.90212,0.98039,0.96396,0.74056,0.92321,0.51906,1.14651,3.78685e-05,3.78685e-05,3.78685e-05
